Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
774901,Mionetto Prosecco Brut,Mionetto Spumante,105.0,750 ml,Glasflaska,Torrt vitt,Italien,Glera,3.6,31181,0.8,vivino-sök,https://www.vivino.com/w/1147897
1267002,El Coto Crianza,El Coto de Rioja,59.0,375 ml,Glasflaska,Kryddigt & Mustigt,Spanien,Tempranillo,3.6,76344,,vertex-ai-search,https://www.vivino.com/sv/el-coto-crianza/w/8619
219801,Jean Biecher Riesling Réserve,Jean Biecher,109.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Riesling,3.6,4034,,vertex-ai-search,https://www.vivino.com/sv/jean-biecher-riesling-reserve/w/1175425
601801,Côtes-du-Rhône Reserve,Pellerin,89.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Frankrike,"Syrah, Grenache noir, Mourvèdre",3.6,182,0.94,vivino-sök,https://www.vivino.com/w/1177518
632101,La Désirée Chardonnay,Les Frères Couillaud,115.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Chardonnay,3.6,300,1.0,vivino-sök,https://www.vivino.com/w/3758512
7038001,Louis Massing Brut,Deregard-Massing,249.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",3.6,4611,,vertex-ai-search,https://www.vivino.com/sv/louis-massing-brut-champagne-champagne-sparkling/w/5935563
3222801,Selvarossa Salice Salentino,Cantine Due Palme,99.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Negroamaro, Malvasía",3.6,177,0.97,vivino-sök,https://www.vivino.com/w/1207109
221501,Barefoot White Zinfandel,Barefoot Cellars,89.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,USA,Zinfandel,3.6,16463,0.88,vivino-sök,https://www.vivino.com/w/1132893
7352201,Weinmann Grüner Veltliner Klassik,ViniMundi,109.0,1000 ml,Lättare glasflaska,Friskt & Fruktigt,Österrike,Grüner veltliner,3.6,1724,,vertex-ai-search,https://www.vivino.com/sv/vinimundi-wines-weinmann-klassik-gruner-veltliner/w/7521151
1224401,Marie d’ Alsace Biecher Organic Réserve,Jean Biecher,99.0,750 ml,Lättare glasflaska,Druvigt & Blommigt,Frankrike,"Pinot blanc, Gewürztraminer",,,,,
712601,Bianchi Montepulciano d'Abruzzo Umani Ronchi,Umani Ronchi,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,"Montepulciano, Cabernet sauvignon",3.4,3929,,websearch,https://www.vivino.com/sv/umani-ronchi-bianchi-montepulciano-d-abruzzo/w/1139275
7572201,Barbera d'Alba Busije,Giacosa Fratelli,119.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,Barbera,3.7,16154,,websearch,https://www.vivino.com/sv/giacosa-fratelli-barbera-d-alba-busije-barbera-dalba/w/6013239
790401,Privat Brut Nature Reserva,Celler Privat,139.0,750 ml,Glasflaska,Torrt vitt,Spanien,"Chardonnay, Macabeo, Parellada, Pansa blanca",3.6,597,0.82,vivino-sök,https://www.vivino.com/w/2397838
7057801,GW :s Rosa,Barton & Guestier,99.0,750 ml,Glasflaska,Friskt & Bärigt,Frankrike,"Grenache, Syrah",,,,,
600301,Gustav Riesling Trocken,Gustav Adolf Schmitt,79.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Tyskland,Riesling,3.6,5397,,vertex-ai-search,https://www.vivino.com/sv/gustav-adolf-schmitt-riesling-trocken-rheinhessen/w/3553587
